,hindi,predicted,test
809,जागता,jaagata,jaagata
810,आशियाँ,aashiyaan,aashiaana
811,मु,mu,mu
812,कहूँगी,kahoongi,kahungi
813,बाँसुरी,baansuri,bansuri
814,भरा,bhar,buraa
815,मुस्कराएंगे,muskaraayenge,muskaraaenge
816,की,ki,kii
817,हारी,hari,haarii
818,हाथों,haathon,haaton
819,फले,fale,fale
820,डरेंगे,darenge,darenge
821,मजनू,majnu,majanuu
822,बेन्द्रे,bendre,bendre
823,हसरत,hasarat,hasrat
824,वर्ड,vard,word
825,जाइये,jaiye,jaaeeye
826,फ़ँस,fan,fans
827,प्रिटेंडिंग,pritendagi,pretending
828,पढ़ता,padhata,padhata
829,तरसि,tarasi,tarasi
830,चिलम,chilam,chilam
831,डरी,dari,dari
832,जायेँ,jaye,jaayen
833,हल्के,halke,halake
834,उड़ेंगे,udenge,udenge
835,कटारों,kataaron,kataaron
836,निगल,nigal,nigal
837,दरसन,darasan,darasan
838,बबली,babali,bubbly
839,उड़ाये,udaaye,udaaye
840,बिठाने,bithaane,bithaane
841,दुःखों,dukhon,duhkhon
842,लिपटना,lipatana,lipatna
843,नादानी,naadaani,naadaanee
844,रही,rahi,rahee
845,दुखेगा,dukhega,dukhega
846,उड़ाके,udaake,udaake
847,चिल्लाएँगी,chillaayengi,chillaayengi
848,कुलटा,kulata,kulata
849,कालिका,kalika,kaalika
850,महक,mahak,mehek
851,दुखी,dukhi,dukhi
852,च,cha,ch
853,सजनिया,sajaniyaa,sajaniya
854,जादु,jaadu,jaadu
855,विश्वास,vishwaas,vishwas
856,खोया,khoya,koya
857,टोरी,tori,tori
858,रजेश्वर,rajeshvar,rajeshvar
859,छोड़े,chode,chhode
860,दुआएँ,duaaye,duaayen
861,परदेसिया,paradesiya,pardesiyaa
862,फ़र्माना,farmaana,farmaanaa
863,हलचल,halchal,halachala
864,बन्दर,bandar,bandar
865,चांद,chaand,chand
866,खराबी,kharabi,kharabi
867,छुपाएंगे,chhupaayenge,chhupaaenge
868,तलवारें,talavaaren,talavaarein
869,भालों,bhaalon,bhaalon
870,तारीफ़ें,taarifen,tareefein
871,बम,bam,bum
872,बसाएंगे,basaayenge,basaayenge
873,बताऊँ,bataaun,bataaun
874,जेल,jel,jhel
875,चहूँ,chahuun,chahoon
876,बाती,baati,baatii
877,स्वामि,swaami,swaami
878,गर्माती,garmaati,garmaati
879,बरसो,baraso,barson
880,निसार,nisaar,nisar
881,जिनके,jinake,jhinke
882,टांका,taanka,taanka
883,मजरा,majaraa,majra
884,जहाँ,jahaan,jahaa
885,दबाकर,dabaakar,dabaakar
886,सच्चे,sachche,saccche
887,जोग,jog,jogi
888,गुज़ारा,guzara,guzaaraa
889,मरहलों,marahalon,marahalon
890,अर,ara,ar
891,रहेंगे,rahenge,raheinge
892,नाज़नी,naazani,naazani
893,लखियन,lakhiyan,lakhiyan
894,सरक,sarak,sarak
895,बईया,baiyaa,baiya
896,संवरती,sanvarti,sanvarati
897,सरसों,sarson,sarason
898,हरिया,hariya,hariya
899,वहीं,vahin,wahee
900,तस्वीरें,tasviren,taswirein
901,रंगीला,rangeela,rangilaa
902,जमना,jamana,jamanaa
903,गरारा,garaara,garaara
904,चौका,chauka,chauka
905,उड़ाएं,udaayen,udaayen
906,छुपती,chhupati,chhupti
907,सेंक,sen,senk
908,मिलतीं,miltin,milatee
909,फ़िज़ाएं,fizayeen,fizaayen
910,गुनगुनाने,gunaane,gungunaane
911,सनके,sanke,sanke
912,कड़के,kadake,kadke
913,महफ़िलें,mahifalen,mahafilen
914,मह्फ़िल,mahifl,mahfil
915,मत्ता,matta,maththa
916,तुजगौरी,tujaguri,tujgauri
917,निभाए,nibhaae,nibhaaye
918,मचलने,machalne,machalane
919,जीती,jiti,jiitii
920,तार,tar,thaar
921,उजरी,ujri,ujri
922,मगर्बत्ति,magarbatin,magarbatti
923,किरपा,kirapa,kirapa
924,खोजने,khojane,khojane
925,बढ़ी,badi,badhi
926,कहेंगे,kahenge,chaahenge
927,चक्र,chakar,chakr
928,आलि,aali,ali
929,हवाएं,hawaayen,havaein
930,होशियार,hoshiyaar,hoshiyaar
931,खाएंगे,khaaenge,khaayenge
932,रुकता,rukata,rukhtha
933,महा,maha,mahaa
934,मुंदरे,mundare,mundere
935,बहिना,bahina,bahina
936,अंदेसा,andesaa,andesha
937,जलालहू,jalaaluh,jalaalahu
938,दास्तानें,daastaanen,dastanen
939,घड़ी,gadi,gai
940,आवाज़,awaa,awaaz
941,घुमर,ghumar,ghumar
942,आरीज़ी,aareee,aarizi
943,गिर्द,gird,gird
944,सँवारे,sanvaare,sanwaare
945,मी,mi,my
946,बन्कर,bankar,bankar
947,ख़ुदाया,khudaayaa,kudaayaa
948,बिनती,binti,binati
949,दरवाज़ा,daravaaaar,daravaaza
950,नीला,neela,neelaa
951,रसूल,rasul,rasool
952,मांगिया,maangiya,mangiya
953,मुस्कुराई,muskuraaa,muskuraai
954,ताजदारों,taajadaaron,taajadaaron
955,झलक,jhalak,jalak
956,लल्ला,lalla,lallaa
957,जुग,jug,jug
958,साकी,saaki,saaki
959,गवारा,gavaara,gawara
960,तारीफ़,taarii,tarif
961,उन्में,unmein,unmein
962,नेहा,neha,nehaa
963,बाबूजी,babuji,baabuji
964,सहरा,sehraa,sahara
965,बे,be,be
966,धागे,dhage,dhaage
967,पहले,pahale,pehale
968,बीड़ा,bidaa,bida
969,कहता,kahata,kehta
970,लाया,laaya,laya
971,बसाए,basaaye,basaaye
972,डालेगा,daalega,daalega
973,दीवानी,deewaani,deevaanii
974,बेक़स,beqas,beqas
975,ढूँढेंगे,dhundhenge,dhoondhenge
976,दुलारा,dulaara,dulaara
977,खोलति,kholti,kholti
978,दीवान,diwaan,diivaan
979,दीजिए,dijiye,dijie
980,आँखों,aankhon,aakhoon
981,उतरा,utra,utaraa
982,कलेजो,kalejo,kalejo
983,गीतमें,gitema,gitamen
984,दिखाई,dikhaai,dikhaaii
985,सगाई,sagaai,sagayi
986,लगाएगा,lagaayega,lagaaegaa
987,सगाने,sagaane,sagaane
988,रहेगी,rahegi,rahegii
989,सुबोह,suboh,suboh
990,पीड़ा,pidaa,pidaa
991,जलाएँ,jalaayen,jalayen
992,रश्क,rashk,rashk
993,गुलसितां,gulsitaa,gulsitaan
994,चहे,chahe,chahe
995,मिलाने,milane,milaane
996,महंगा,mehanga,mahanga
997,पुकारेगा,pukaarega,pukaarega
998,न्यारा,nyaara,nyaaraa
999,हवाएँ,hawaayen,hawaein
1000,लादे,laade,laade
1001,परत,parat,parat
1002,समझने,samajhane,samjhane
1003,अटारी,ataari,ataari
1004,गड़बड़,gadbad,gadabad
1005,रंगना,rangana,rangna
1006,नारियल,nariyal,naariyal
1007,लगायी,lagaayi,lagaayi
1008,लगयी,lagayi,lagayi
1009,फ़िज़ाएं,fizayeen,fizaaen
1010,नेहा,neha,neha
1011,उड़ान,udaan,udan
1012,जिसमें,jismen,jisamen
1013,भाँप,bhaan,bhaamph
1014,हेगा,hegaa,hega
1015,मौज,muj,mauj
1016,कहलाता,kahalaata,kahalaata
1017,जगाता,jagaatag,jagaata
1018,आँहें,aanhen,aahen
1019,छिपाओगे,chhipaaoge,chhipaaoge
1020,जियूंगा,jiyuunga,jiyoonga
1021,जाएं,jaayen,jaaen
1022,रहगुज़ारों,rahaguzaaron,rehguzaaron
1023,नचायो,nachaayo,nachaayo
1024,सँवारूँ,sanvaaroon,sanwaaruun
1025,पूछे,puchhe,puche
1026,बरसातो,barasaato,barasaato
1027,लगाएगी,lagaayegi,lagaaegii
1028,उठाएँ,uthaaye,uthaayen
1029,बोलूँ,bolun,boloo
1030,छाहों,chhaaon,chhaahon
1031,इत्तेफ़ाक,ittefaa,ittefaq
1032,साँची,saanchi,saanchi
1033,जाये,jaaye,jaayen
1034,हीर,hir,heer
1035,तोड़ूंगी,toduungi,toduungi
1036,तक़ाज़ा,taqaazaa,taqaaza
1037,चीन,chin,cheen
1038,कहूंगी,kahuungi,kahoongi
1039,रेल,rel,rel
1040,चुराऊँ,churaaun,churaayuun
1041,क्रोरेपति,rkorpate,crorepati
1042,अपराधी,aparadhai,aparaadhi
1043,दवाओं,davaaon,dawaaon
1044,सी,si,se
1045,मुसकान,muskaan,musakaan
1046,पर्वाने,parvaane,parvaane
1047,आंसुओं,aansuo,aansuon
1048,सुदामा,sudaama,sudama
1049,आग़ोश,aagosh,agosh
1050,वसुन्धरा,vasundhara,vasundhara
1051,चित्चोर,chitchor,chitchor
1052,छलकाते,chhalakaate,chhalakaate
1053,जानता,jaanta,jaanta
1054,करेला,karela,karela
1055,आरज़ू,aarazu,arazu
1056,मरी,mari,mari
1057,लौटकर,lautkar,lautakar
1058,नूँ,nuun,noon
1059,बजाई,bajai,bajaai
1060,छितर,chhitar,chhitar
1061,निमंत्रण,ninmartan,nimantran
1062,कटीले,katile,katile
1063,लिखा,likhaa,likhaa
1064,सोचके,sochke,sochake
1065,पलको,palako,palako
1066,आऊँगा,aaoonga,aaungaa
1067,रोऊँ,roon,rouun
1068,अफ़साना,afsaana,afasana
1069,धिन्ताना,dhintaana,dhintaanaa
1070,करूंगी,karuungi,karungi
1071,हरता,harata,harataa
1072,जैसा,jaisa,jaisaa
1073,अभीलाशा,abhilaahaa,abhilaasha
1074,बुद,bud,bud
1075,ओस,os,os
1076,गुब्बारा,gubbaara,gubbaara
1077,दूजे,duje,dujhe
1078,लोट,lot,lot
1079,वाडिया,wadiya,waadiyan
1080,भरके,bharke,bharke
1081,तार्रुफ़,tararu,taarruf
1082,बन्सी,bansi,bansi
1083,पावनता,paavanata,paavanataa
1084,अतिति,athiti,atithi
1085,प्यार,pyaar,piyaao
1086,निभायेंगे,nibhaayenge,nibhaenge
1087,चाहूँ,chaahoon,chadhoon
1088,छलकाया,chhalakaayaa,chhalkaaya
1089,तोड़ा,todaa,thoda
1090,ज़मीं,zamin,zamee
1091,भड़काती,bhadakaati,bhadakati
1092,चूहे,chuuhe,choohe
1093,तारें,taaren,taare
1094,जलदी,jaladi,jaladi
1095,बाज़ार,baazara,baazar
1096,काटते,kaatate,kaatate
1097,कहलाओगे,kahalaaoge,kahalaaoge
1098,गिल्ली,gilli,gilli
1099,जोड़ूँ,jodoon,joduun
1100,इतराये,itraye,itraaye
1101,नागों,naagon,naagon
1102,कश्कोल,kashkol,kashkol
1103,हँसाये,hansaaye,hasaaye
1104,मोतिया,motiyaa,motiyaa
1105,भगतों,bhagaton,bhagaton
1106,बड़ी,badi,badii
1107,मुस्काऊँ,muskaauun,muskaaub
1108,तुम्हारी,tumhaari,tumhaaree
1109,अंगना,angana,aangna
1110,इतराएं,itaraaen,itaraayein
1111,मेवाड़,mevaad,mevaad
1112,गरमी,garami,garami
1113,सतों,saton,saton
1114,बेखुदी,bekhudi,bekhudee
1115,दगरीया,dagariya,dagariya
1116,लाजो,laajo,laajo
1117,मदहोशीयाँ,madhoshiyaon,madhoshiyan
1118,कर्मों,karmon,karmo
1119,चूड़ियों,choodiyon,choodiyoon
1120,आज़मा,aazma,aazama
1121,कोई,koi,koyi
1122,दहेज़,dahee,dahez
1123,साजिशें,saajishen,saajishein
1124,क़ाश,qash,qaash
1125,घबराया,ghabaraaya,ghabaraayaa
1126,आवारा,aawaara,awara
1127,रुलाएंगे,rulaayenge,rulaaenge
1128,समाय,samaay,samaaya
1129,बसाया,basaaya,basaya
1130,यादों,yaadon,yado
1131,दफ़ा,dafa,dafaa
1132,पिपरा,pipara,pipara
1133,बहरूप,beharoon,baharoop
1134,मैयाँ,maiyaan,maiyaan
1135,हैया,haiyaa,haiya
1136,गोलियाँ,goliyaan,goliyaan
1137,दायरा,dayara,daayara
1138,रीत,reet,riit
1139,इलाहाबादी,ilahaabaadi,ilahabaadi
1140,खिले,khile,khiley
1141,रोकेगी,rokegi,rokegi
1142,मदहोशियोमे,madhasohiyon,madhoshiyome
1143,विरह,viraha,virah
1144,लागो,laago,laago
1145,पारो,paaro,paro
1146,मजबूरियों,majabuuriyan,majabooriyon
1147,ईद,id,id
1148,टोको,toko,toko
1149,बदले,badale,badley
1150,माथे,maathe,maathe
1151,चुकाएगा,chukaayega,chukaayega
1152,फूलवाली,phulavaali,phuulavaali
1153,मुस्लिम,muslim,muslim
1154,सजन,sajan,sajan
1155,चादर,chadar,chaadar
1156,जी,ji,jai
1157,दिसी,disi,disi
1158,उदू,udu,udu
1159,भूखे,bhuukhe,bhukhe
1160,हमें,hume,hamein
1161,उठाता,uthaata,uthaata
1162,किरनों,kirano,kiranon
1163,जीले,jile,jiile
1164,बतला,batla,batala
1165,शरमाना,sharamaana,sharmana
1166,चाँ,chaan,chaan
1167,बेगम,begam,begum
1168,तड़क,tadak,tadak
1169,जान,jaan,jane
1170,पहनके,pahanaake,pehanke
1171,जागता,jaagata,jagta
1172,चहकेगी,chahakaegi,chahakegi
1173,भालू,bhaalu,bhaalu
1174,इत्तेफ़ाक़,ittefaaa,ittefaaq
1175,पालता,paalata,paalataa
1176,तड़पाता,tadapataa,tadapaata
1177,आरज़ू,aarazu,aarzo
1178,जाउँ,jaaun,jaaun
1179,बोलूँगा,boluunga,bolunga
1180,देवा,deva,devaa
1181,कबसे,kabase,kabse
1182,झूटे,jhute,jhuute
1183,सवार,savaar,savaar
1184,श्याम,shaam,shyaam
1185,अमोल,amol,amol
1186,ओं,on,oh
1187,मचाई,machai,machaayi
1188,आता,aataa,ahta
1189,किवाड़,kivaad,kivaad
1190,तड़पाने,tadapaane,tadpaane
1191,बापू,baapu,baapuu
1192,ज़ालिमाना,zaalimaana,zalimana
1193,शुकरिया,shukariya,shukriya
1194,कोये,koye,koye
1195,दोगे,doge,dohge
1196,मिटने,mitane,mitane
1197,वक़ालत,qavaalat,vaqaalat
1198,उतरा,utra,utara
1199,मजनूँ,majanun,majanoon
1200,अंगारे,angaare,angaare
1201,गुलज़ार,gulazaar,gulzaar
1202,भीगेगी,bhigegi,bheegegee
1203,मोटी,moti,motii
1204,मिलाओगे,milaaoge,milaoge
1205,नवाब,navaab,nawab
1206,विप,vipa,vipa
1207,ऐलान,laan,elaan
1208,दुखो,dukho,dukho
1209,ससुराल,sasural,sasuraal
1210,बत्ती,batti,batti
1211,गाऊँ,gaaun,gaaoun
1212,पियोगे,piyoge,piyoge
1213,बायें,baayen,baayen
1214,बालियाँ,baaliyaan,baaliyan
1215,गरजे,garaje,garajke
1216,नशीला,nashila,nashila
1217,हंजुआँ,hanjua,hanjuaan
1218,बलत,balat,balat
1219,बाज़ुओं,baazuon,baajuo
1220,कानों,kaanon,kaano
1221,चमकाकर,chamakaakar,chamakaakar
1222,हवास,hawaas,havaas
1223,मंदा,manda,mandaa
1224,झिलमिलाते,jhilamilaate,jhilmilaate
1225,जलसे,jalase,jalse
1226,पुरजा,puraja,purjaa
1227,हमदर्द,hamadard,hamdard
1228,नाचें,nachen,naache
1229,वजूद,vajood,wajood
1230,समझा,samjhaa,samajhaa
1231,लुगाई,lugaai,lugaayi
1232,काज़ी,kaazi,qaazi
1233,कोचवान,kochavaan,kochavaan
1234,पियारा,piyaara,piyaara
1235,मचाये,machaaye,machaaye
1236,पाएगा,payega,paayega
1237,बहार,bahaar,bahar
1238,रुद्र,rudr,rudra
1239,तड़पाओ,tadapaao,tadpaao
1240,पर्वान,parvaan,parvaan
1241,शीरीं,shirin,shirin
1242,परवान,paravaan,paravaan
1243,गहरे,gahare,gahare
1244,चलाए,chalaaye,chalaaye
1245,लुटाओ,lutaao,lutaao
1246,ज़रूरत,zaroorat,zarurat
1247,पाती,paati,paatee
1248,दीवानी,deewaani,diwaanee
1249,रहनुमा,rahanuma,rahanuma
1250,बैंया,bainya,baiyaa
1251,तुमने,tunme,tumne
1252,करतार,karataar,kartaar
1253,उठाएगी,uthaaegi,uthaayegi
1254,मुसकाएगी,musakaayegi,muskaayegi
1255,दमिनिया,daminiyaa,daminiya
1256,गिलोरी,gilori,gilori
1257,लेता,leta,letaa
1258,अखी,akhi,akhi
1259,पड़ती,padati,parti
1260,निहारो,nihaaro,nihaaro
1261,रुमाल,rumal,rumaal
1262,शिकार,shikaar,shikaar
1263,आज़माना,aazamaana,aazamaanaa
1264,टोला,tolaa,tola
1265,कुंइया,kuniyaa,kunyiya
1266,अकड़ना,akadana,akadana
1267,लंबियाँ,lanbiyaan,lambiyaan
1268,चराग़ों,charaagon,charaago
1269,सवेरा,savera,savera
1270,लीना,leena,lina
1271,देहरी,dehari,dehari
1272,नमी,nami,nami
1273,कुम्हलाये,kumhalaaye,kumhalaaye
1274,घोड़ेजी,ghodeji,ghodeji
1275,छुड़ाना,chhudaana,chhudaana
1276,बरसावत,barsaavat,barasaavat
1277,बिता,bita,bitaa
1278,दिलवाले,dilavaale,dilvaale
1279,पीकर,pikar,piikar
1280,विछोड़ेयाँ,vichhodyean,vichodeyaan
1281,अपनापन,apanaapan,apanaapan
1282,चीने,chine,chiine
1283,तन्हाईयां,tanhaaiyaan,tanhaaiyaan
1284,दहाड़ा,dahaada,dahaada
1285,आखों,akhon,aakhon
1286,सीतान,sitaan,seetaan
1287,लुभाना,lubhaana,lubhaana
1288,झोपड़ी,jhopadi,jhopadi
1289,अमूल,amul,amul
1290,सूना,sunaa,suna
1291,जंगल,jangal,jungle
1292,वादियाँ,waadiyaan,wadiyan
1293,क़द,qad,qad
1294,वे,ve,ve
1295,चिकिरिरिका,chikirikari,chikiririka
1296,रहूंगा,rahuunga,rahunga
1297,सोहनी,sohani,sohani
1298,इख्तियार,iktiyaar,ikhtaiyaar
1299,वोटें,voten,voten
1300,दोगी,dogi,dogi
1301,रंज,ranj,ranj
1302,तोड़ना,todana,todna
1303,खुशनसीब,khushansii,khushnaseeb
1304,हमराज़,humraaa,humaraaj
1305,पी,pi,pee
1306,अंधियारों,andhiyaron,andhiyaaro
1307,गुलामी,gulaami,gulami
1308,वीना,vina,veena
1309,दूँगा,dunga,doongaa
1310,हम्से,hamse,hamse
1311,अटका,ataka,atka
1312,शहज़ादों,shahazaoond,shahzaadon
1313,तन्हाई,tanhaai,tanhai
1314,पगला,pagala,pagala
1315,गिराई,giraai,giraayi
1316,सवाली,savali,savaalii
1317,आऊंगा,aaunga,aauungaa
1318,रुक़सार,ruqasar,ruqasaar
1319,एलो,elo,elo
1320,कँगना,kangana,kangna
1321,खेलना,khelana,khelna
1322,बनवाएँगे,banavaayenge,banwayenge
1323,क्युन,kuyn,kyun
1324,अमेरिका,amerika,america
1325,देखे,dekhe,dekhe
1326,दूसरा,dusaraa,doosara
1327,चूसूंगा,chuusuunga,chusunga
1328,पकाएगा,pakaayega,pakaayega
1329,गईं,gayi,gaye
1330,आस,aas,as
1331,गुज़ारूँ,guzaaruun,guzaroon
1332,पापियों,paapiyon,paapiyon
1333,ख़्वाहिश,khwaahish,khwaahish
1334,बाहें,baahen,bahen
1335,हिना,hinaa,hina
1336,अन्जानें,anjaanen,anjaane
1337,रहजाऊँगा,rahajaunga,rehjaoonga
1338,टवर,tavar,tower
1339,परछाइंयाँ,parchainayaa,parachhaainyaan
1340,तबाही,tabaahi,tabahi
1341,डांडिया,daandiya,dandiya
1342,डरने,darane,darne
1343,खोते,khote,khote
1344,तिलिस्मात,tilimasat,tilismaat
1345,गुज़री,guzri,guzari
1346,जगे,jage,jagey
1347,बहो,baho,baho
1348,इतने,itne,itane
1349,जुदा,juda,jhuda
1350,करादो,karaado,karaado
1351,सिरफिरे,siraphire,siraphire
1352,घीरा,ghiraa,ghira
1353,मुसलमाँ,musalamaan,musalmaan
1354,या,ya,yaah
1355,पटरी,patari,pattri
1356,सुहागन,suhaagan,suhaagana
1357,उदती,udati,udati
1358,उम्मिदें,ummiden,ummidein
1359,लुटाऊंगी,lutaauungi,lutaayuungi
1360,उतना,utana,utana
1361,दावत,daavat,daavat
1362,बिचार,bichaar,bichaar
1363,छुरियाँ,chhuriyaan,churiyan
1364,मुरझा,murajha,murjhaa
1365,मसीहा,masihaa,masihaa
1366,तीसरी,teesri,teesari
1367,मंत्र,mantr,mantr
1368,रचाया,rachaaya,rachaayaa
1369,सुल्ताना,sultaana,sultaanaa
1370,पुतली,putali,putalii
1371,परेशान,pareshan,pareshaan
1372,बतलाने,batalaane,batalaane
1373,सांसें,saansen,saansen
1374,धारी,dhaari,dhaari
1375,जीता,jeeta,jita
1376,पहचाना,pahachaanaa,pehchaana
1377,पुरवय्या,puravyaya,puravayya
1378,दीवार,deevar,dewaar
1379,दुवाएं,duaayen,duvaayen
1380,अरब,araba,arab
1381,माहताब,maahtaab,mahtaab
1382,रोकर,rokar,rokar
1383,अखिया,akhiyaa,akhiyan
1384,विधवा,vidhaava,vidhwaa
1385,नहला,nahala,nahala
1386,हून,hoon,hun
1387,बाँधे,baandhe,bandhe
1388,वाली,vaali,waalee
1389,पता,pataa,ptaa
1390,पकड़कर,pakadakar,pakadkar
1391,दीदी,didi,deedi
1392,बगीचे,baigche,bageeche
1393,तरसाते,tarasaate,tarasaate
1394,दाला,daalaa,daalaa
1395,नग़मा,nagham,naghmaa
1396,समझें,samajhen,samajhein
1397,न्यारो,nyaaro,nyaaro
1398,छिड़कावे,chhidakaave,chhidkaave
1399,मामता,mamaata,maamata
1400,बढ़कर,badhakar,badhkar
1401,चाहा,chahaa,chaaha
1402,रोशनी,roshani,roshni
1403,दीवानों,deewaanon,deewano
1404,चक्कर,chakkar,chakkar
1405,सहर,sehar,seher
1406,तारो,taro,taaron
1407,जाएँगे,jayenge,jaaenge
1408,खेवनहारे,khevanahaara,khevanahaare
1409,पछताया,pachhataaya,pachhataaya
1410,सोचकर,sochakar,sochkar
1411,मनसूब,manasuub,manasoob
1412,कराएगा,karaayega,karaayega
1413,बिठाती,bithaati,bithaati
1414,गहरा,gaharaa,gehraa
1415,मुश्किल,mushkil,muskil
1416,इज़हार,izahaar,izhar
1417,निरला,nirala,nirala
1418,कहाया,kahaaya,kahaaya
1419,पलकें,palaken,palaken
1420,शामाझे,shaamajhae,shamajhe
1421,सताकर,sataakar,satakar
1422,रसीला,rasila,raseela
1423,चक्की,chakki,chakki
1424,सिवा,siva,siva
1425,बेटियाँ,betiyaan,betiyan
1426,बाँहें,baanhen,bahen
1427,विश्वास,vishwaas,vishvaas
1428,हमारे,hamaare,hamarey
1429,देतीं,deteen,detin
1430,शिक,shik,shik
1431,बहकता,bahakaat,behakta
1432,माँगने,maangane,maangane
1433,क्या,kiya,kiya
1434,उपोर,upor,upor
1435,कोप,kop,kop
1436,डरूँ,daruun,darun
1437,बनद,banda,band
1438,नो,no,no
1439,हम,hum,hami
1440,रुकी,ruki,ruukii
1441,अम्न,amn,amn
1442,पूजूँ,poojoon,pujoon
1443,हंसाया,hansaaya,hansaayaa
1444,दोस्तों,doston,doston
1445,गुनहगार,gunahagaar,gunhaagaar
1446,पहिये,pahiye,pahiye
1447,पिला,pilaa,pila
1448,वंदना,vandana,wandana
1449,बजाया,bajaaya,bajaya
1450,मुस्क्राए,muskraaye,muskaaye
1451,पहरा,paharaa,pahraa
1452,सिनेमा,sinema,sinemaa
1453,बुलातीं,bulaati,bulaatin
1454,पिय,piya,piya
1455,दरिया,dariyaa,dariyaan
1456,रहूँगी,rahuungi,rahoongee
1457,सकूंगी,sakuungi,sakoongi
1458,गुनाहों,gunaahon,gunaahon
1459,पेटी,peti,peti
1460,शरमाऊँगी,sharmaaungi,sharamaaungi
1461,बाँहें,baanhen,baahe
1462,इश्क़ा,ishqa,ishqa
1463,चुल्लु,chullu,chullu
1464,सुनाया,sunaaya,sunaayaa
1465,लू,lu,luu
1466,मिटी,miti,miti
1467,छुपते,chhupate,chhupte
1468,फूटे,phuute,phute
1469,परवर,paravar,parawar
1470,ससुरजी,sasurai,sasurajee
1471,छुड़ाया,chhudaayaa,chhudaaya
1472,छाकर,chhaakar,chhaakar
1473,सेहराव,seharaava,sehraav
1474,झूलें,jhulen,jhulein
1475,ग़मज़ा,gamaza,gamazaa
1476,अदब,adab,adab
1477,बुझा,bujha,booja
1478,डगमगायी,dagamagaayi,dagamagaayi
1479,एन्नाया,enyaana,ennaya
1480,चूल्हा,chuulhaa,chulhaa
1481,दासी,daasi,daasi
1482,मांझी,maanji,maanjhi
1483,जोड़ा,jodaa,jodha
1484,ताज़ा,taaza,taaza
1485,सिलसिले,silsile,silasile
1486,दुलारे,dulaare,dulhaare
1487,कायदा,kaayada,kaayadaa
1488,जिसमें,jismen,jisame
1489,जलाता,jalata,jalaata
1490,खुलें,khulen,khulein
1491,फ़रियाद,farayaad,fariyad
1492,दफ़नाऊँगी,dafanaauungi,dafanaaungee
1493,आरज़ुओं,aarazoon,aarzuon
1494,टकराओ,takaraao,takaraao
1495,सहना,sehana,sahana
1496,जवाब,javaab,javaab
1497,चुन,chun,chun
1498,घुटने,ghutane,ghutane
1499,सोगवार,sogavaar,sogvaar
1500,ज़र्क,zark,zark
1501,राम्बा,raamba,rambha
1502,वार,vaar,war
1503,दारोगा,daarogaa,daaroga
1504,नाज़ुकी,najuki,naazukii
1505,दार,daar,daar
1506,आखिर,aakhir,aakhir
1507,उसको,usko,usako
1508,आदा,adaa,aada
1509,नग़मात,nagamaat,nagamaat
1510,चश्मा,chashma,chashma
1511,रहना,rahana,rehana
1512,रहत,raat,rahat
1513,महकेगा,mahakegaa,mehkega
1514,मुमकिन,mumakin,moomkin
1515,हवा,hawaa,hava
1516,पायलिया,paayaliya,payaliyaa
1517,गर,gar,gar
1518,बहका,behaka,behaka
1519,बहारों,bahaaron,bahaaron
1520,दीवानों,deewaanon,diivaanon
1521,लायी,laayi,laaye
1522,मस्ताना,mastaana,mastaanaa
1523,सुनेगा,sunega,sunega
1524,दुखड़ों,dukhadon,dukhadon
1525,तकूँगी,takuungi,takungi
1526,काली,kaali,kaalii
1527,क़ुबूल,qubuul,qubul
1528,फ़ुर्सत,fursat,furasat
1529,ग़ुसा,gusaa,gusa
1530,उलझाओगे,ulajhaaoge,ulajhaaoge
1531,शरमाइये,sharamaayii,sharamaaiye
1532,बाराती,baaraati,barati
1533,जापान,japan,jaapaan
1534,हमदर्द,hamadard,hamadard
1535,ऊँचाई,unchaai,oonchaai
1536,गरबे,garbe,garbe
1537,सादा,sada,saadaa
1538,दिलजला,dilajala,dilajala
1539,ग़ज़लों,gazalon,gazalon
1540,खुशियों,khushiyo,khushiyoon
1541,रमैया,ramaiyaa,ramaiya
1542,ख़्वाब,kwaab,khwab
1543,बरसाऊँ,barasaaun,barasaaun
1544,भंवरों,bhanvaron,bhanwaron
1545,तरीक़,tariin,tareeq
1546,मुसलमान,musalamaan,musalmaan
1547,धोखेबाज़,dhokhebaas,dhokhebaaz
1548,नाचके,naachake,nachke
1549,पुरखों,purakhon,purakhon
1550,ताना,taana,tana
1551,लाडले,laadale,laadle
1552,हरता,harata,harta
1553,रोम्बा,rombaa,romba
1554,गिराती,giraati,giraati
1555,बेहाल,behaal,behaal
1556,खुशियाँ,khushiyaan,khushiya
1557,होंठो,honto,hontho
1558,चन्नां,chananan,channaan
1559,रिमझिम,rimjhim,rimajhim
1560,मुस्कुराये,muskuraaye,muskuraye
1561,खाये,khaaye,haaye
1562,सिंदूरी,sinduri,sindooree
1563,दुलारी,dulaari,dulaari
1564,झुकेगा,jhukega,jhukega
1565,सांसों,saanson,saason
1566,चाहेगी,chaahegi,chaahegi
1567,डरते,darate,darate
1568,जलो,jalo,jalo
1569,शिवाला,shivaala,shivaala
1570,आएगा,aaegaa,aaegaa
1571,वाली,vaali,vaalii
1572,फूलका,phulka,phulaka
1573,वालों,waalon,walo
1574,झाँझ,jhaanjh,jhaanjh
1575,बाज़ी,baazi,baazii
1576,रचाना,rachaana,rachaana
1577,मूँह,muunh,munh
1578,सुनते,sunate,sunte
1579,सम्भलना,sambhalana,sambhalana
